year,country,player_id,player_name,dob,position
"1930","Argentina","60407","Adolfo Zumelzu","05/01/1902","DF"
"1930","Argentina","47685","Alberto Chividini","23/02/1907","DF"
"1930","Argentina","57749","Alejandro Scopelli","12/05/1908","FW"
"1930","Argentina","46826","Angel Bossio","05/05/1905","GK"
"1930","Argentina","44040","Atilio Demaria","19/03/1909","FW"
"1930","Argentina","174854","Carlos Peucelle","13/09/1908","FW"
"1930","Argentina","58320","Carlos Spadaro","05/02/1902","FW"
"1930","Argentina","69370","Edmundo Piaggio","03/10/1910","MF"
"1930","Argentina","55993","Fernando Paternoster","24/05/1903","DF"
"1930","Argentina","44726","Francisco Varallo","05/02/1910","FW"
"1930","Argentina","61693","Guillermo Stabile","17/01/1906","FW"
"1930","Argentina","48403","Jose Della Torre","23/03/1906","DF"
"1930","Argentina","46831","Juan Botasso","23/10/1908","GK"
"1930","Argentina","49178","Juan Evaristo","20/06/1902","MF"
"1930","Argentina","174777","Luis Monti","15/05/1901","MF"
"1930","Argentina","49376","Manuel Ferreira","22/10/1905","FW"
"1930","Argentina","49179","Mario Evaristo","10/12/1908","FW"
"1930","Argentina","56144","Natalio Perinetti","28/12/1900","FW"
"1930","Argentina","58521","Pedro Suarez","21/12/1909","MF"
"1930","Argentina","54812","Ramon Muttis","12/03/1899","DF"
"1930","Argentina","49942","Roberto Cerro","23/02/1907","FW"
"1930","Argentina","55634","Rodolfo Orlandini","01/01/1905","DF"
"1930","Belgium","69429","Alexis Chantraine","16/03/1901","MF"
"1930","Belgium","57303","Andre Saeys","20/02/1911","FW"
"1930","Belgium","46045","Arnold Badjou","25/06/1909","GK"
"1930","Belgium","50795","Auguste Hellemans","14/09/1907","MF"
"1930","Belgium","59711","Bernard Voorhoof","11/05/1910","FW"
"1930","Belgium","44993","Fernand Adams","03/05/1903","FW"
"1930","Belgium","48378","Gerard Delbeke","01/09/1903","FW"
"1930","Belgium","48350","Henri De Deken","03/08/1907","DF"
"1930","Belgium","54336","Jacques Moeschal","06/09/1900","FW"
"1930","Belgium","48550","Jan Diddens","14/09/1906","MF"
"1930","Belgium","182215","Jean De Bie","18/05/1892","GK"
"1930","Belgium","48290","Jean De Clerq","17/05/1905","MF"
"1930","Belgium","59575","Louis Versyp","05/12/1908","FW"
"1930","Belgium","51046","Nikolaas Hoydonckx","29/12/1900","DF"
"1930","Belgium","69427","Pierre Braine","26/10/1900","MF"
"1930","Belgium","55277","Theodore Nouwens","17/02/1908","DF"
"1930","Bolivia","47563","Casiano Chavarria","03/08/1901","DF"
"1930","Bolivia","52741","Diogenes Lara","06/04/1903","MF"
"1930","Bolivia","55659","Eduardo Reyes Ortiz","01/01/1907","FW"
"1930","Bolivia","50043","Gumercindo Gomez","01/01/1907","FW"
"1930","Bolivia","46508","Jesus Bermudez","01/01/1902","GK"
"1930","Bolivia","45770","Jorge Argote","01/01/1906","MF"
"1930","Bolivia","59327","Jorge Balderrama","12/12/1906","MF"
"1930","Bolivia","47093","Jose Bustamante","01/01/1907","FW"
"1930","Bolivia","69392","Jose Noya","","FW"
"1930","Bolivia","69396","Luis Reyes Penaranda","","DF"
"1930","Bolivia","45355","Mario Alborta","19/09/1910","FW"
"1930","Bolivia","69391","Miguel Brito","","MF"
"1930","Bolivia","69395","Miguel Murillo","","GK"
"1930","Bolivia","54090","Rafael Mendez","01/01/1904","FW"
"1930","Bolivia","57350","Renato Sainz","14/12/1899","MF"
"1930","Bolivia","49356","Rene Fernandez","01/01/1906","FW"
"1930","Bolivia","48795","Segundo Durandal","17/03/1907","DF"
"1930","Brazil","69382","Araken","17/07/1905","FW"
"1930","Brazil","54113","Benedicto","10/05/1910","FW"
"1930","Brazil","69385","Benvenutto","08/08/1903","MF"
"1930","Brazil","69380","Brilhante","05/11/1904","DF"
"1930","Brazil","52919","Carvalho Leite","25/06/1912","FW"
"1930","Brazil","69386","Doca","07/03/1903","FW"
"1930","Brazil","213736","Fausto","28/01/1905","MF"
"1930","Brazil","49982","Fernando Giudicelli","01/03/1906","MF"
"1930","Brazil","69388","Fortes","09/09/1901","MF"
"1930","Brazil","49521","Hermogenes","04/11/1908","MF"
"1930","Brazil","49890","Italia","22/05/1907","DF"
"1930","Brazil","182216","Ivan Mariz","16/05/1910","MF"
"1930","Brazil","54443","Joel","01/05/1904","GK"
"1930","Brazil","69390","Manoelzinho","22/08/1907","FW"
"1930","Brazil","59994","Moderato","14/07/1902","FW"
"1930","Brazil","63824","Nilo","03/04/1903","FW"
"1930","Brazil","48009","Oscarino","17/01/1907","MF"
"1930","Brazil","69387","Pamplona","24/03/1904","MF"
"1930","Brazil","56861","Poly","26/01/1909","FW"
"1930","Brazil","63823","Preguinho","08/02/1905","FW"
"1930","Brazil","63822","Russinho","18/12/1902","FW"
"1930","Brazil","56107","Teophilo","11/04/1900","FW"
"1930","Brazil","63820","Velloso","25/09/1908","GK"
"1930","Brazil","63821","Ze Luis","16/11/1904","DF"
"1930","Chile","69374","Arturo Coddou","","FW"
"1930","Chile","59059","Arturo Torres","20/10/1906","MF"
"1930","Chile","57675","Carlos Schneberger","21/06/1902","FW"
"1930","Chile","59596","Carlos Vidal","24/02/1902","FW"
"1930","Chile","59062","Casimiro Torres","01/01/1906","MF"
"1930","Chile","170944","Cesar Espinoza","","GK"
"1930","Chile","59629","Eberardo Villalobos","01/04/1908","FW"
"1930","Chile","47536","Ernesto Chaparro","04/01/1901","DF"
"1930","Chile","45761","Guillermo Arellano","21/08/1908","FW"
"1930","Chile","69373","Guillermo Riveros","10/02/1902","DF"
"1930","Chile","57265","Guillermo Saavedra","05/11/1903","MF"
"1930","Chile","58531","Guillermo Subiabre","25/02/1903","FW"
"1930","Chile","69375","Horacio Munoz","","FW"
"1930","Chile","69371","Humberto Elgueta","","MF"
"1930","Chile","45071","Juan Aguilera","","FW"
"1930","Chile","47995","Roberto Cortes","02/02/1905","GK"
"1930","Chile","55487","Tomas Ojeda","20/04/1910","FW"
"1930","Chile","56356","Ulises Poirier","02/02/1897","DF"
"1930","Chile","54493","Victor Morales","10/05/1905","DF"
"1930","France","58899","Alex Thepot","30/07/1906","GK"
"1930","France","59637","Alex Villaplane","12/09/1903","MF"
"1930","France","53765","Andre Maschinot","28/06/1903","FW"
"1930","France","69366","Andre Tassin","23/02/1902","GK"
"1930","France","47531","Augustin Chantrel","11/11/1906","MF"
"1930","France","48405","Celestin Delmer","15/02/1907","MF"
"1930","France","48382","Edmond Delfour","01/11/1907","FW"
"1930","France","59523","Emile Veinante","12/06/1907","FW"
"1930","France","53011","Ernest Liberati","22/03/1908","FW"
"1930","France","53852","Etienne Mattler","25/12/1905","DF"
"1930","France","69368","Jean Laurent","30/12/1906","MF"
"1930","France","29657","Lucien Laurent","10/12/1907","FW"
"1930","France","47273","Marcel Capelle","11/12/1904","DF"
"1930","France","52726","Marcel Langiller","02/06/1908","FW"
"1930","France","56299","Marcel Pinel","08/07/1908","MF"
"1930","France","69367","Nouma Andoire","19/03/1908","DF"
"1930","Mexico","57483","Alfredo Sanchez","","MF"
"1930","Mexico","54039","Dionisio Mejia","06/01/1907","FW"
"1930","Mexico","45536","Efrain Amezcua","","MF"
"1930","Mexico","55525","Felipe Olivares","05/02/1910","FW"
"1930","Mexico","57129","Felipe Rosas","05/02/1910","MF"
"1930","Mexico","50383","Francisco Garza Gutierrez","01/01/1904","DF"
"1930","Mexico","53170","Hilario Lopez","18/11/1907","FW"
"1930","Mexico","58282","Isidoro Sota","04/02/1902","GK"
"1930","Mexico","69369","Jesus Castro","","FW"
"1930","Mexico","57207","Jose Ruiz","01/01/1904","FW"
"1930","Mexico","47331","Juan Carreno","14/08/1907","FW"
"1930","Mexico","182417","Luis Perez","01/01/1907","FW"
"1930","Mexico","57131","Manuel Rosas","17/04/1912","DF"
"1930","Mexico","46750","Oscar Bonfiglio","05/10/1905","GK"
